Julian,RiverFlow.cfs,EastChannel,WestChannel,BigOssipee
123,3904,13.69,13.64,14.97
124,3873,13.86,13.81,15.07
125,3717,14.12,14.07,15.77
126,3492,14.57,14.55,16.71
127,3243,15.09,15.11,17.82
128,3467,15.35,15.3,17.96
129,3560,16,15.93,18.66
130,4075,16.4,16.36,18.2
131,4359,16.68,16.63,16.98
132,3983,16.67,16.67,15.54
133,4124,16.29,16.22,14.95
134,3912,15.95,15.89,14.77
135,3691,15.47,15.39,16.3
136,3327,15.55,15.51,16.6
137,2994,15.63,15.6,16.73
138,2546,15.38,15.36,15.84
139,2592,15.55,15.55,16.33
140,2505,15.73,15.62,16.08
141,2956,15.38,15.31,15.44
142,3782,15.46,15.39,15.52
143,4488,15.47,15.38,16.46
144,4537,14.83,14.8,15.22
145,5964,13.68,14.44,13.75
146,5658,14.39,14.39,14.56
147,5780,14.41,14.37,15.49
148,5531,13.96,13.94,15.43
149,5296,14.73,14.71,16.33
150,5035,15.69,15.66,18.89
151,4218,16.81,16.78,20.66
152,3661,18.01,18,22.42
153,3559,18.87,18.87,22.33
154,3002,20.13,20.27,20.89
155,2940,20.73,20.92,20.49
156,3103,21.12,21.09,20.78
157,3416,20.71,20.65,19.92
158,4220,19.69,19.68,18.44
159,4512,19.9,19.89,19.15
160,3945,19.5,19.5,19.33
161,4249,18.58,18.6,18.53
162,5107,18.41,18.39,17.98
163,4764,18.26,18.22,18.28
164,4796,18.09,18.06,18.68
165,4166,18.45,18.42,19.38
166,3795,18.34,18.34,19.42
167,3350,18.49,18.5,20.07
168,3256,18.82,18.79,19.61
169,3299,19.01,19.06,19.95
170,3083,19.63,19.71,20.2
171,2654,19.82,19.89,20.98
172,2675,20.32,20.36,21.72
173,2347,20.7,20.76,22.51
174,2864,21.36,21.41,23.63
175,2749,22.25,22.3,24.99
176,2642,22.57,22.67,25.06
177,2006,21.96,22.03,23.16
178,3322,21.01,21.16,21.2
179,4421,21.54,21.62,21.11
180,4405,21.9,21.95,22.27
181,4221,21.87,21.92,22.84
182,4525,21.2,21.2,22.08
183,4358,21.39,21.41,22.02
184,4718,22,22.08,24.16
185,4802,22.6,22.68,26.07
186,4740,23.24,23.34,26.83
187,4141,23.61,23.72,25.92
188,4198,24.01,24.06,25.38
189,3894,23.98,24.06,23.95
190,4637,23.74,23.85,23.57
191,4671,23.66,23.76,23.23
192,4900,23.45,23.52,23.96
193,4716,23.12,23.18,24.3
194,4607,23.24,23.28,24.98
195,3965,23.72,23.74,25.88
196,3076,24.29,24.35,26.62
197,3227,25.03,25.08,27.16
198,3160,25.56,25.66,27.11
199,3906,26.13,26.26,27.7
200,3720,26.67,26.73,27.7
201,3277,26.88,26.96,26.68
202,2785,26.44,26.47,25.35
203,3340,25.85,25.92,22.97
204,4897,25.3,25.46,22.7
205,4672,24.33,24.43,23.39
206,4516,23.42,23.4,23.26
207,4052,23.13,23.43,23.55
208,3358,22.72,22.72,23.61
209,3223,22.61,22.64,23.66
210,3020,22.96,23.02,23.37
211,2879,23.29,23.34,23.13
212,2475,23.42,23.45,23.25
213,2472,23.32,23.44,23.61
214,2950,23.42,23.44,23.89
215,2927,23.69,23.72,23.28
216,2416,23.53,23.6,22.57
217,2267,23.39,23.45,21.95
218,1734,23.36,23.43,21.72
219,1677,23.12,23.2,22
220,1752,22.91,22.91,22.05
221,3654,22.83,22.86,22.46
222,4018,22.75,22.88,22.3
223,3607,22.54,22.65,22.03
224,3124,22.58,22.59,21.69
225,3206,22.35,22.4,21.95
226,2869,22.13,22.16,21.4
227,2743,22.17,22.25,21.48
228,2504,22.09,22.17,21.97
229,2543,21.87,21.9,22
230,2455,21.88,21.88,22.3
231,2201,22.25,22.33,22.93
232,1704,22.62,22.73,23.63
233,2106,22.76,22.83,24.13
234,1774,23.15,23.16,24.27
235,1392,22.99,23.04,22.66
236,1184,22.99,23.05,22.23
237,1398,23.07,23.1,22.34
238,1388,23.39,23.42,23.15
239,1273,23.69,23.76,23.57
240,1280,23.55,23.61,22.43
241,2237,23.15,23.24,23.1
242,2087,23.48,23.63,23.72
243,2082,23.76,23.82,22.94
244,3731,23.42,23.44,22.92
245,4336,23.08,23.15,22.65
246,4447,22.97,23.05,22.56
247,4180,22.72,22.75,22.38
248,3596,22.13,22.17,20.98
249,3478,21.88,21.92,20.65
250,2480,21.49,21.55,20.19
251,2500,20.81,20.86,18.79
252,2335,20.27,20.35,18.34
253,1197,20.7,20.71,20.31
254,2064,21,21.12,20.71
255,4449,20.03,20.08,20.22
256,4764,19.42,19.47,19.55
257,4206,19.57,19.66,19.04
258,4242,19.37,19.41,19.02
259,3622,18.82,18.82,17.6
260,3274,18.58,18.6,16.93
261,2671,18.2,18.23,17.3
262,2715,18.07,18.11,17.76
263,2161,17.9,17.93,18
264,2139,17.95,17.98,18.55
265,2373,17.39,17.39,17.08
266,2171,17.22,17.22,15.54
267,2146,16.87,16.9,15.19
268,2225,16.97,17,15.55
269,2248,17.11,17.2,16.43
270,1979,16.98,17.05,16.49
271,1680,16.76,16.81,16.43
272,1587,16.36,16.41,16.22
273,1468,16.14,16.17,16.41
274,1423,16.43,16.51,16.74
275,1604,16.81,16.89,16.92
276,1388,16.81,16.87,16.79
277,1457,16.51,16.55,16.71
278,1430,16.17,16.24,15.97
279,1279,16,16,15.39
280,1655,16.16,16.21,15.11
281,2442,15.84,15.84,14.96
282,2601,15.6,15.6,14.71
283,1539,15.41,15.43,14.37
284,1765,15.1,15.09,13.74
285,1676,14.74,14.76,13.83
286,1869,14.33,14.34,13.81
287,1912,14.52,14.58,14.42
288,1551,14.34,14.39,14.79
289,1661,14.57,14.6,14.8
290,1587,14.61,14.63,14.79
291,1725,14.31,14.33,14.12
292,1883,14.25,14.25,13.83
293,1677,13.64,13.8,12.87
294,1487,13.62,13.83,12.47
295,1451,13.4,13.43,11.24
296,1846,12.92,13.04,
